latitude,longitude
40.670544,-73.97191
40.820435,-73.93624
40.609077,-74.08353
40.62025,-74.03237
40.67134,-73.89959
40.723835,-73.97357
40.67285,-73.97339
40.711216,-73.81635
40.6224,-73.936646
40.82692,-73.87199
40.865448,-73.86635
40.833042,-73.88511
40.860996,-73.89643
40.688744,-73.90875
40.77981,-73.95035
40.759624,-73.99548
40.761856,-73.96343
40.761856,-73.96343
40.757736,-73.97727
40.584557,-73.950874
40.62448,-73.99593
40.895195,-73.88012
40.60426,-73.75286
40.69397,-73.75397
40.868366,-73.88981
40.84595,-73.8664
40.6338,-73.8897
40.67189,-73.895874
40.70021,-73.953896
40.75991,-73.95882
40.86853,-73.86047
40.81821,-73.96144
40.827816,-73.94391
40.822582,-73.93922
40.669216,-73.86447
40.68461,-73.79987
40.825226,-73.88778
40.74901,-73.98384
40.66645,-73.75764
40.75316,-73.78611
40.8746,-73.9097
40.691895,-73.93384
40.72415,-73.89581
40.68811,-73.819336
40.721592,-73.97477
40.673107,-73.99959
40.723083,-73.91318
40.764614,-73.95833
40.679317,-73.98176
40.87757,-73.85644
40.82201,-73.85827
40.847576,-73.90633
40.741394,-73.82303
40.673477,-73.791504
40.631084,-73.897125
40.84004,-73.86822
40.60235,-74.189606
40.86027,-73.82459
40.707825,-73.99918
40.760933,-73.73113
40.71702,-73.830505
40.833736,-73.89589
40.627598,-74.03821
40.57666,-73.96588
40.72412,-74.00849
40.741264,-73.9023
40.813587,-73.9273
40.6665,-73.931335
40.753933,-73.86122
40.699482,-73.96104
40.840855,-73.875015
40.689865,-73.84281
40.75458,-73.99915
40.649395,-73.9417
40.713833,-73.90868
40.64033,-73.978935
40.731018,-73.985916
40.725918,-73.89535
40.73454,-73.949875
40.76941,-73.8037
40.793,-73.94015
40.87788,-73.8448
40.72224,-73.9863
40.646927,-74.00126
40.7722,-73.74176
40.82513,-73.931076
40.73027,-73.953476
40.69397,-73.75397
40.866047,-73.882744
40.7509,-73.99812
40.80398,-73.831085
40.603935,-73.99897
40.844833,-73.909386
40.758022,-73.981804
40.77938,-73.981064
40.55076,-74.23293
40.639256,-73.968796
40.7712,-73.83345
40.68315,-73.80511
40.720966,-73.8429
