hour,day_of_week,contributing_factor,total_pedestrian_injuries
18,2,Passenger Distraction,21
16,3,Traffic Control Disregarded,21
15,4,Traffic Control Disregarded,21
9,7,Backing Unsafely,21
8,3,Driver Inexperience,21
16,5,Passenger Distraction,21
8,3,Turning Improperly,21
17,1,Traffic Control Disregarded,21
7,4,Glare,21
13,6,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,21
19,3,Traffic Control Disregarded,21
18,3,Turning Improperly,21
8,5,View Obstructed/Limited,21
12,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,21
16,4,Traffic Control Disregarded,20
18,4,Aggressive Driving/Road Rage,20
20,5,Traffic Control Disregarded,20
15,2,View Obstructed/Limited,20
11,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,20
20,6,Traffic Control Disregarded,20
15,6,Traffic Control Disregarded,20
8,6,View Obstructed/Limited,20
17,2,Passenger Distraction,20
20,7,Passenger Distraction,20
21,4,Backing Unsafely,20
13,6,View Obstructed/Limited,20
17,5,Driver Inexperience,20
22,4,Backing Unsafely,20
4,5,Driver Inattention/Distraction,20
18,4,Unsafe Speed,20
19,3,Aggressive Driving/Road Rage,20
0,5,Backing Unsafely,20
16,3,Aggressive Driving/Road Rage,20
1,4,Driver Inattention/Distraction,20
1,2,Failure to Yield Right-of-Way,20
14,5,Traffic Control Disregarded,20
9,4,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,20
15,6,View Obstructed/Limited,20
22,6,Traffic Control Disregarded,20
15,2,Other Vehicular,19
0,6,Backing Unsafely,19
0,1,Unsafe Speed,19
10,6,View Obstructed/Limited,19
9,5,Glare,19
0,4,Backing Unsafely,19
21,1,Backing Unsafely,19
15,5,Traffic Control Disregarded,19
8,4,Traffic Control Disregarded,19
4,7,Alcohol Involvement,19
12,5,Traffic Control Disregarded,19
17,3,Passenger Distraction,19
3,6,Driver Inattention/Distraction,19
16,6,Aggressive Driving/Road Rage,19
21,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,19
4,1,Unsafe Speed,19
19,6,Unsafe Speed,19
20,3,Traffic Control Disregarded,19
22,2,Backing Unsafely,19
16,5,Driver Inexperience,19
15,3,Traffic Control Disregarded,19
15,4,Other Vehicular,19
7,2,Glare,19
7,3,View Obstructed/Limited,19
16,7,Passenger Distraction,19
7,2,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,19
17,4,View Obstructed/Limited,19
9,4,View Obstructed/Limited,19
20,2,View Obstructed/Limited,19
1,3,Driver Inattention/Distraction,19
10,2,Other Vehicular,19
14,7,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,19
9,2,Traffic Control Disregarded,19
15,3,Other Vehicular,19
17,7,View Obstructed/Limited,19
7,4,View Obstructed/Limited,19
20,6,Passenger Distraction,19
12,2,Traffic Control Disregarded,18
17,6,Turning Improperly,18
17,2,Traffic Control Disregarded,18
7,6,Glare,18
16,2,View Obstructed/Limited,18
3,7,Alcohol Involvement,18
17,2,Driver Inexperience,18
14,2,Traffic Control Disregarded,18
14,5,Glare,18
0,2,Backing Unsafely,18
15,4,Unsafe Speed,18
12,1,Unsafe Speed,18
14,6,Passenger Distraction,18
9,6,Glare,18
15,4,View Obstructed/Limited,18
21,6,View Obstructed/Limited,18
9,5,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,18
23,6,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,18
11,7,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,18
22,5,Backing Unsafely,18
20,6,View Obstructed/Limited,18
15,5,View Obstructed/Limited,18
6,3,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,18
19,1,Passenger Distraction,18
16,2,Passenger Distraction,18
18,4,Glare,18
17,1,View Obstructed/Limited,18
15,6,Driver Inexperience,18
13,4,View Obstructed/Limited,18
4,3,Failure to Yield Right-of-Way,18
12,7,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,18
19,5,Traffic Control Disregarded,18
8,6,Traffic Control Disregarded,18
21,7,Unsafe Speed,18
15,1,Traffic Control Disregarded,18
13,2,Other Vehicular,18
19,4,Aggressive Driving/Road Rage,18
4,6,Failure to Yield Right-of-Way,18
15,2,Driver Inexperience,17
14,2,Other Vehicular,17
6,6,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,17
23,7,Traffic Control Disregarded,17
0,3,Backing Unsafely,17
1,5,Failure to Yield Right-of-Way,17
2,6,Failure to Yield Right-of-Way,17
6,2,View Obstructed/Limited,17
6,6,View Obstructed/Limited,17
14,3,Other Vehicular,17
18,1,Traffic Control Disregarded,17
16,4,Driver Inexperience,17
23,5,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,17
14,4,View Obstructed/Limited,17
21,3,Traffic Control Disregarded,17
14,5,Aggressive Driving/Road Rage,17
23,6,Alcohol Involvement,17
16,6,Passenger Distraction,17
7,4,Traffic Control Disregarded,17
19,7,Traffic Control Disregarded,17
14,6,View Obstructed/Limited,17
8,5,Passenger Distraction,17
23,4,Backing Unsafely,17
18,6,Traffic Control Disregarded,17
22,7,Traffic Control Disregarded,17
15,6,Passenger Distraction,17
15,4,Glare,17
20,7,Traffic Control Disregarded,17
13,2,View Obstructed/Limited,17
9,4,Glare,17
0,5,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,17
19,2,View Obstructed/Limited,17
9,7,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,17
18,4,View Obstructed/Limited,17
14,5,View Obstructed/Limited,17
16,7,Unsafe Speed,17
21,1,Traffic Control Disregarded,17
0,1,Alcohol Involvement,17
16,5,Other Vehicular,17
8,2,Other Vehicular,17
13,3,View Obstructed/Limited,17
10,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,17
11,4,Passing Too Closely,16
6,5,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,16
21,7,Alcohol Involvement,16
16,1,Traffic Control Disregarded,16
7,2,View Obstructed/Limited,16
21,7,View Obstructed/Limited,16
17,5,Aggressive Driving/Road Rage,16
18,2,Driver Inexperience,16
14,6,Turning Improperly,16
22,3,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,16
20,7,Alcohol Involvement,16
13,5,Unsafe Speed,16
15,5,Unsafe Speed,16
13,5,Driver Inexperience,16
19,7,Pavement Slippery,16
16,5,Traffic Control Disregarded,16
17,6,Driver Inexperience,16
20,4,Passenger Distraction,16
8,6,Passenger Distraction,16
4,2,Failure to Yield Right-of-Way,16
7,5,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,16
23,4,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,16
18,6,Passenger Distraction,16
16,6,Glare,16
14,6,Driver Inexperience,16
8,3,Other Vehicular,16
14,1,Passenger Distraction,16
12,3,View Obstructed/Limited,16
23,2,Unsafe Speed,16
17,2,Turning Improperly,16
16,2,Traffic Control Disregarded,16
12,4,Unsafe Speed,16
17,2,Unsafe Speed,16
18,5,Aggressive Driving/Road Rage,16
8,3,Unsafe Speed,16
13,3,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,16
19,7,Passenger Distraction,16
13,4,Other Vehicular,16
15,2,Unsafe Speed,16
15,7,Traffic Control Disregarded,16
22,7,Unsafe Speed,16
20,4,Traffic Control Disregarded,16
22,4,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,16
16,5,Aggressive Driving/Road Rage,16
18,1,Unsafe Speed,16
20,7,View Obstructed/Limited,16
2,1,Unsafe Speed,16
19,4,Unsafe Speed,16
1,1,Unsafe Speed,16
22,6,Unsafe Speed,16
6,4,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,16
9,2,View Obstructed/Limited,16
8,2,Passenger Distraction,16
14,2,View Obstructed/Limited,15
23,7,Backing Unsafely,15
12,6,View Obstructed/Limited,15
23,6,Traffic Control Disregarded,15
19,6,Passenger Distraction,15
17,7,Other Vehicular,15
12,5,View Obstructed/Limited,15
20,5,Unsafe Speed,15
21,7,Traffic Control Disregarded,15
15,6,Aggressive Driving/Road Rage,15
16,4,Passenger Distraction,15
10,2,Glare,15
18,6,Other Vehicular,15
19,3,Driver Inexperience,15
8,4,Unsafe Speed,15
20,3,Unsafe Speed,15
23,7,Unsafe Speed,15
16,4,View Obstructed/Limited,15
22,6,Aggressive Driving/Road Rage,15
2,5,Failure to Yield Right-of-Way,15
22,2,Unsafe Speed,15
2,3,Driver Inattention/Distraction,15
9,7,Glare,15
14,4,Driver Inexperience,15
12,2,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,15
17,7,Driver Inexperience,15
7,5,Traffic Control Disregarded,15
7,6,View Obstructed/Limited,15
17,5,Glare,15
19,6,Aggressive Driving/Road Rage,15
17,6,Unsafe Speed,15
16,4,Unsafe Speed,15
17,4,Passenger Distraction,15
3,6,Failure to Yield Right-of-Way,15
22,6,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,15
15,1,View Obstructed/Limited,15
21,6,Passenger Distraction,15
10,6,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,15
11,6,Traffic Control Disregarded,15
10,7,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,15
19,5,Passenger Distraction,15
6,2,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,15
8,4,Passenger Distraction,15
17,5,Other Vehicular,15
18,3,Pavement Slippery,15
19,7,View Obstructed/Limited,15
9,3,View Obstructed/Limited,15
0,7,Unsafe Speed,15
13,4,Unsafe Speed,15
20,6,Alcohol Involvement,15
18,7,Driver Inexperience,15
6,2,Pavement Slippery,15
23,3,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,15
14,7,Other Vehicular,15
14,2,Glare,15
15,5,Aggressive Driving/Road Rage,15
13,5,Traffic Control Disregarded,14
4,3,Driver Inattention/Distraction,14
19,6,Other Vehicular,14
3,5,Driver Inattention/Distraction,14
19,4,Traffic Control Disregarded,14
16,5,Turning Improperly,14
11,1,Aggressive Driving/Road Rage,14
13,5,View Obstructed/Limited,14
6,6,Backing Unsafely,14
18,2,Traffic Control Disregarded,14
20,5,Passenger Distraction,14
13,3,Passenger Distraction,14
18,2,Other Vehicular,14
15,5,Passenger Distraction,14
13,3,Other Vehicular,14
16,3,Turning Improperly,14
22,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,14
23,1,Traffic Control Disregarded,14
19,5,View Obstructed/Limited,14
12,7,View Obstructed/Limited,14
2,1,Aggressive Driving/Road Rage,14
17,2,Other Vehicular,14
3,1,Alcohol Involvement,14
16,4,Passing or Lane Usage Improper,14
22,7,Alcohol Involvement,14
16,2,Unsafe Speed,14
19,3,Passenger Distraction,14
20,1,View Obstructed/Limited,14
20,3,Driver Inexperience,14
11,3,View Obstructed/Limited,14
14,3,Passenger Distraction,14
14,4,Unsafe Speed,14
14,1,Unsafe Speed,14
19,5,Driver Inexperience,14
11,3,Aggressive Driving/Road Rage,14
10,4,Passenger Distraction,14
9,5,View Obstructed/Limited,14
14,5,Other Vehicular,14
18,6,Unsafe Speed,14
11,5,Traffic Control Disregarded,14
20,4,Aggressive Driving/Road Rage,14
20,6,Driver Inexperience,14
13,2,Aggressive Driving/Road Rage,14
13,6,Aggressive Driving/Road Rage,14
6,4,View Obstructed/Limited,14
18,1,View Obstructed/Limited,14
16,3,Driver Inexperience,14
13,2,Unsafe Speed,14
12,7,Passenger Distraction,14
17,1,Unsafe Speed,14
6,4,Backing Unsafely,14
16,1,Passenger Distraction,14
18,4,Driver Inexperience,14
8,5,Traffic Control Disregarded,14
17,3,Unsafe Speed,14
17,6,Other Vehicular,14
20,3,Aggressive Driving/Road Rage,14
18,5,Driver Inexperience,14
3,7,Unsafe Speed,14
3,2,Driver Inattention/Distraction,14
16,6,View Obstructed/Limited,14
9,2,Glare,14
12,5,Other Vehicular,14
17,6,Glare,14
8,2,Driver Inexperience,14
15,6,Other Vehicular,14
0,1,Aggressive Driving/Road Rage,14
19,4,Passenger Distraction,14
22,7,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,14
1,7,Aggressive Driving/Road Rage,14
15,5,Glare,14
1,7,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,14
9,5,Traffic Control Disregarded,14
19,1,Driver Inexperience,14
12,7,Turning Improperly,13
15,5,Other Vehicular,13
17,5,Passing Too Closely,13
9,2,Other Vehicular,13
15,3,Aggressive Driving/Road Rage,13
19,7,Aggressive Driving/Road Rage,13
14,5,Unsafe Speed,13
0,6,Traffic Control Disregarded,13
15,2,Passing or Lane Usage Improper,13
10,4,View Obstructed/Limited,13
21,1,Unsafe Speed,13
15,2,Glare,13
5,6,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,13
23,1,Unsafe Speed,13
8,1,Backing Unsafely,13
21,4,Unsafe Speed,13
18,5,Other Vehicular,13
21,6,Alcohol Involvement,13
15,4,Driver Inexperience,13
17,6,Aggressive Driving/Road Rage,13
14,7,Traffic Control Disregarded,13
22,1,Alcohol Involvement,13
8,6,Other Vehicular,13
16,5,Unsafe Speed,13
23,7,Aggressive Driving/Road Rage,13
19,1,Aggressive Driving/Road Rage,13
0,7,Backing Unsafely,13
12,6,Other Vehicular,13
13,6,Unsafe Speed,13
13,6,Traffic Control Disregarded,13
22,2,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,13
17,4,Aggressive Driving/Road Rage,13
16,1,Driver Inexperience,13
14,6,Glare,13
12,4,Traffic Control Disregarded,13
8,4,Other Vehicular,13
14,6,Unsafe Speed,13
21,6,Traffic Control Disregarded,13
14,2,Unsafe Speed,13
12,6,Turning Improperly,13
20,5,Driver Inexperience,13
14,3,Glare,13
15,7,Driver Inexperience,13
2,7,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,13
22,3,Traffic Control Disregarded,13
19,2,Traffic Control Disregarded,13
17,1,Glare,13
21,2,Unsafe Speed,13
18,1,Passenger Distraction,13
18,5,Glare,13
10,3,Glare,13
2,7,Alcohol Involvement,13
13,5,Other Vehicular,13
8,5,Aggressive Driving/Road Rage,13
4,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,13
15,3,Unsafe Speed,13
18,5,Passenger Distraction,13
21,6,Aggressive Driving/Road Rage,13
0,7,Alcohol Involvement,13
16,7,View Obstructed/Limited,13
16,2,Driver Inexperience,13
18,6,Turning Improperly,13
21,4,View Obstructed/Limited,13
10,5,View Obstructed/Limited,13
22,1,Unsafe Speed,13
10,6,Unsafe Speed,13
16,3,Glare,13
9,2,Unsafe Speed,13
14,5,Driver Inexperience,13
21,1,Alcohol Involvement,12
17,5,Passing or Lane Usage Improper,12
19,3,Other Vehicular,12
22,4,Other Vehicular,12
10,6,Passing or Lane Usage Improper,12
17,3,Driver Inexperience,12
18,1,Other Vehicular,12
7,6,Pavement Slippery,12
9,3,Glare,12
11,2,Other Vehicular,12
21,6,Unsafe Speed,12
17,1,Other Vehicular,12
1,1,Alcohol Involvement,12
1,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,12
20,5,View Obstructed/Limited,12
8,2,Unsafe Speed,12
22,4,Unsafe Speed,12
15,7,Unsafe Speed,12
11,6,Driver Inexperience,12
6,3,View Obstructed/Limited,12
23,7,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,12
18,7,Pavement Slippery,12
23,7,Other Vehicular,12
19,2,Driver Inexperience,12
15,5,Driver Inexperience,12
12,1,Driver Inexperience,12
18,5,Unsafe Speed,12
22,1,Backing Unsafely,12
17,7,Traffic Control Disregarded,12
3,5,Failure to Yield Right-of-Way,12
21,5,View Obstructed/Limited,12
7,2,Traffic Control Disregarded,12
17,2,Pavement Slippery,12
22,3,Passenger Distraction,12
0,4,Aggressive Driving/Road Rage,12
13,5,Passenger Distraction,12
13,6,Glare,12
11,6,Other Vehicular,12
13,2,Driver Inexperience,12
9,4,Traffic Control Disregarded,12
12,4,Driver Inexperience,12
17,7,Unsafe Speed,12
7,6,Turning Improperly,12
7,5,View Obstructed/Limited,12
1,2,Alcohol Involvement,12
13,3,Traffic Control Disregarded,12
10,3,View Obstructed/Limited,12
19,2,Turning Improperly,12
11,6,Glare,12
16,7,Driver Inexperience,12
19,2,Unsafe Speed,12
3,1,Aggressive Driving/Road Rage,12
8,7,Glare,12
12,5,Aggressive Driving/Road Rage,12
2,1,Passenger Distraction,12
2,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,12
21,4,Traffic Control Disregarded,12
10,3,Traffic Control Disregarded,12
0,6,Unsafe Speed,12
21,3,Passenger Distraction,12
9,6,Other Vehicular,12
17,2,Glare,12
19,5,Aggressive Driving/Road Rage,12
20,5,Aggressive Driving/Road Rage,12
23,7,Passing or Lane Usage Improper,12
15,6,Passing or Lane Usage Improper,12
12,6,Unsafe Speed,12
18,4,Other Vehicular,12
15,2,Turning Improperly,12
7,6,Traffic Control Disregarded,12
21,5,Traffic Control Disregarded,12
11,5,View Obstructed/Limited,12
18,2,Aggressive Driving/Road Rage,12
12,4,View Obstructed/Limited,12
16,2,Glare,12
14,5,Passenger Distraction,12
14,4,Glare,12
20,3,Passenger Distraction,12
14,3,Driver Inexperience,12
20,2,Traffic Control Disregarded,12
16,4,Other Vehicular,12
0,5,Traffic Control Disregarded,12
23,5,View Obstructed/Limited,12
8,7,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,12
15,7,View Obstructed/Limited,12
18,3,Aggressive Driving/Road Rage,12
16,1,View Obstructed/Limited,12
15,6,Glare,12
17,4,Turning Improperly,12
12,2,View Obstructed/Limited,12
17,4,Glare,12
13,4,Passing Too Closely,11
15,1,Aggressive Driving/Road Rage,11
17,2,Passing or Lane Usage Improper,11
11,2,Traffic Control Disregarded,11
13,6,Passing Too Closely,11
16,1,Unsafe Speed,11
0,1,View Obstructed/Limited,11
21,1,View Obstructed/Limited,11
21,2,Passenger Distraction,11
1,5,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,11
9,4,Other Vehicular,11
9,3,Other Vehicular,11
14,3,Unsafe Speed,11
17,3,Passing Too Closely,11
13,4,Traffic Control Disregarded,11
17,3,Aggressive Driving/Road Rage,11
8,2,Turning Improperly,11
8,4,Driver Inexperience,11
18,2,Unsafe Speed,11
17,3,Pavement Slippery,11
3,2,Failure to Yield Right-of-Way,11
3,7,Aggressive Driving/Road Rage,11
17,1,Turning Improperly,11
13,7,Traffic Control Disregarded,11
11,4,View Obstructed/Limited,11
23,3,Backing Unsafely,11
14,1,Traffic Control Disregarded,11
14,2,Turning Improperly,11
23,6,Unsafe Speed,11
15,3,Driver Inexperience,11
22,6,Passenger Distraction,11
2,1,Alcohol Involvement,11
2,2,Unsafe Speed,11
16,3,Other Vehicular,11
19,1,Unsafe Speed,11
15,4,Passenger Distraction,11
20,5,Other Vehicular,11
0,4,Unsafe Speed,11
21,3,Unsafe Speed,11
22,5,View Obstructed/Limited,11
15,7,Aggressive Driving/Road Rage,11
14,6,Aggressive Driving/Road Rage,11
17,7,Glare,11
12,3,Passenger Distraction,11
23,3,Traffic Control Disregarded,11
20,1,Passenger Distraction,11
14,6,Other Vehicular,11
12,3,Traffic Control Disregarded,11
15,4,Passing or Lane Usage Improper,11
20,3,Pavement Slippery,11
19,2,Other Vehicular,11
6,3,Traffic Control Disregarded,11
4,1,Traffic Control Disregarded,11
21,2,View Obstructed/Limited,11
21,3,View Obstructed/Limited,11
4,7,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,11
17,1,Passenger Distraction,11
11,6,View Obstructed/Limited,11
3,3,Driver Inattention/Distraction,11
0,1,Traffic Control Disregarded,11
12,3,Passing Too Closely,11
19,7,Turning Improperly,11
12,4,Aggressive Driving/Road Rage,11
16,1,Aggressive Driving/Road Rage,11
3,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,11
10,3,Aggressive Driving/Road Rage,11
10,5,Unsafe Speed,11
3,4,Failure to Yield Right-of-Way,11
0,3,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,11
18,6,Alcohol Involvement,11
16,7,Traffic Control Disregarded,11
16,5,Glare,11
9,1,Backing Unsafely,11
18,3,Driver Inexperience,11
13,6,Driver Inexperience,11
19,6,Pavement Slippery,11
19,7,Other Vehicular,11
14,4,Other Vehicular,11
17,7,Aggressive Driving/Road Rage,11
7,3,Passenger Distraction,11
1,1,Aggressive Driving/Road Rage,11
5,2,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,11
19,4,Other Vehicular,11
12,6,Passing or Lane Usage Improper,11
12,4,Other Vehicular,11
8,6,Turning Improperly,11
17,1,Pavement Slippery,11
22,6,Driver Inexperience,11
9,3,Driver Inexperience,11
0,3,View Obstructed/Limited,11
12,3,Aggressive Driving/Road Rage,11
21,3,Aggressive Driving/Road Rage,11
14,2,Passenger Distraction,11
17,4,Driver Inexperience,11
16,7,Other Vehicular,11
14,4,Traffic Control Disregarded,11
20,1,Unsafe Speed,10
11,2,View Obstructed/Limited,10
12,7,Driver Inexperience,10
13,7,View Obstructed/Limited,10
22,3,Unsafe Speed,10
4,1,Aggressive Driving/Road Rage,10
2,4,Failure to Yield Right-of-Way,10
11,3,Passenger Distraction,10
7,4,Passenger Distraction,10
10,7,Glare,10
10,6,Aggressive Driving/Road Rage,10
11,7,View Obstructed/Limited,10
8,6,Passing Too Closely,10
20,5,Passing Too Closely,10
8,4,Passing Too Closely,10
11,7,Other Vehicular,10
22,5,Unsafe Speed,10
12,7,Unsafe Speed,10
12,1,Traffic Control Disregarded,10
9,3,Traffic Control Disregarded,10
13,6,Passenger Distraction,10
6,5,Pavement Slippery,10
23,7,Alcohol Involvement,10
0,6,Alcohol Involvement,10
22,6,View Obstructed/Limited,10
0,2,Alcohol Involvement,10
12,6,Aggressive Driving/Road Rage,10
13,7,Aggressive Driving/Road Rage,10
11,6,Passenger Distraction,10
22,3,Pavement Slippery,10
12,2,Aggressive Driving/Road Rage,10
18,2,Pavement Slippery,10
3,7,Passenger Distraction,10
11,4,Aggressive Driving/Road Rage,10
18,1,Driver Inexperience,10
6,3,Backing Unsafely,10
14,7,Unsafe Speed,10
7,3,Unsafe Speed,10
22,1,Traffic Control Disregarded,10
3,1,Unsafe Speed,10
13,4,Aggressive Driving/Road Rage,10
18,7,Aggressive Driving/Road Rage,10
6,3,Pavement Slippery,10
17,7,Turning Improperly,10
